group,n_sessions,no_bookkeeping,strict_cross,fake_action,candidate_detection,candidate_evasion
Only Swipe Humanized,57,0.9824561403508771,0.631578947368421,0.0,1.0,0.0
Rot Tap Humanized,158,0.2974683544303797,0.689873417721519,0.0,0.689873417721519,0.310126582278481
Fake Rot Tap Humanized,291,0.0,0.3745704467353952,0.8419243986254296,0.8762886597938144,0.12371134020618557
