head,human_fp,human_n,human_fpr,human_fpr_ci_low,human_fpr_ci_high,raw_tp,raw_n,raw_recall,raw_recall_ci_low,raw_recall_ci_high
no_bookkeeping,0,280,0.0,0.0,0.013534309276723356,184,184,1.0,0.9795487261607652,1.0
strict_cross,1,280,0.0035714285714285713,0.0006307070519590754,0.019949785729930544,125,184,0.6793478260869565,0.608833517174563,0.7425263519917985
fake_action_oof,2,280,0.007142857142857143,0.001960978526654814,0.02566569776040107,0,184,0.0,0.0,0.020451273839234757
nb_strict,1,280,0.0035714285714285713,0.0006307070519590754,0.019949785729930544,184,184,1.0,0.9795487261607652,1.0
candidate,3,280,0.010714285714285714,0.003650321368179693,0.03102253842404245,184,184,1.0,0.9795487261607652,1.0
