condition,n_prefixes,median_abs_href_delta,p95_abs_href_delta,max_abs_href_delta,decision_flip_rate,n_delta_gt_1000,top20_href_consulted
B-spline,7596,0.000000,0.239126,3967678.434009,0.000000,177,0
History Matching,7596,0.000000,0.030098,0.727120,0.000263,0,3
